Business Name,Company Officials
SLOOP POINT HOLDINGS LLC,"Manager: Joseph H. Stilwell , Jr."
HOMEGEVITY LLC,Managing Member: Brian Gonzales
HOMEGEVITY LLC,Managing Member: Greg Reyolds
R&S FOREST LLC,Manager: Richard Yang
R&S FOREST LLC,Managing Member: Susan Yang
WJKJ PROPERTIES LLC,Manager: Vickie Lynn Jones
WJKJ PROPERTIES LLC,Manager: Walter Christian Jones
LEGACY PROPERTIES OF WILMINGTON LLC,Administrative Member: Jonathan Edward Lewis
CORNERSTONE FAMILY PROPERTIES LLC,Manager: D I. Logan
DJM-NC LLC,Member: Daniel Smith
CORNERSTONE RANCH LLC,No match
PENDER PTNR LLC,No match
HAMPSTEAD PROPERTIES LLC,"Manager: Dennis B Gillings , CBE"
HAMPSTEAD PROPERTIES LLC,Manager: Mireille Gillings
HAMPSTEAD PROPERTIES LLC,"Manager: Carl A Hellman , IV"
NAMASTE HOLDINGS LLC,Managing Member: Michelle Biele
PENDER LAND HOLDINGS INC,Treasurer: Michael J Brown
PENDER LAND HOLDINGS INC,Vice President: Joan H Smith
PENDER LAND HOLDINGS INC,President: R. Clark Wadlow
PENDER LAND HOLDINGS INC,Secretary: Vicki S Wadlow
PENDER LAND HOLDINGS INC,Vice President: Paul V Zehfuss
WHITEBRIDGE DEVELOPMENTS LLC,No match
STOVHORT INC,"President: Ralph Terrell Horton , III"
STOVHORT INC,Vice President: Emmet Crow Stovall
LITTLE HAMPSTEAD LLC,Manager: Robert Tanner
CORBETT PACKAGE COMPANY,No match
HERITAGE EAST HOLDINGS LLC,"Member: Bryce Morrison , Jr"
THREE OAKS PARTNERS LLC,Managing Member: H David Swain
THREE OAKS PARTNERS LLC,Manager: Jason David Swain
'BLAKES'' OF SCOTTS HILL LLC',Member: Carol Blake Batts
'BLAKES'' OF SCOTTS HILL LLC',"Member: Henry Christopher Blake , III"
'BLAKES'' OF SCOTTS HILL LLC',Member: Toni Blake Hardin
PRD PROPERTIES LLC,Manager: Peter R. Davis
"'TAYLOR MEADOWS'' LANDS, LLC'",Member: Andrea Meadows Boyette
"'TAYLOR MEADOWS'' LANDS, LLC'",Member: Linda Kaye Howard Taylor
"'TAYLOR MEADOWS'' LANDS, LLC'",Member: Jennifer Leigh Meadows
"'TAYLOR MEADOWS'' LANDS, LLC'",Member: Emily Meadows Willis
AJ MCGIRT LAND MANAGEMENT LLC,"Administrative Member: Archie McGirt , III"
LEUVEN LLC,Administrative Member: Valerie Bauwens
ARCHILL INC,President: Paul Durant
FOREHAND & BRADSHAW PROPERTIES LLC,Manager: Brian Forehand
TOM LEASING LLC,Managing Member: Steven W Smith
PINNACLE PROPERTY OF HAMPSTEAD LLC,Manager: Louise S. O'Connor
TP HOLDINGS LLC,Member/Manager: James A. Parker
CAISON PROPERTIES LLC,Manager: Michael L Caison
POPE PROPERTIES ON 17 LLC,Member/Manager: R. Glenn Lea
POPE PROPERTIES ON 17 LLC,Member/Manager: David G Sneeden
CKBUFF ENTERPRISES LLC,Managing Member: kelly patricia buffalino
JL MORRIS ENTERPRISES OF HAMPTEAD INC,No match
